id_temp,id,idgroup,text,order,
23889,22552,445,εἰς οὐ(ρα)νους τὸν κόσμον ἐκπέμπ(...)λον (?)·,7,
46495,18839,15904,εἰς ἐξέτασιν τῆς ἀκηδίας φθάσας· |,106,
49714,33682,14802,(καὶ) ἡ | στρατευόμ(εν)οι ἠδὶν τὸ νύκος,2,
24086,22621,14866,"+ ὁ πάντα κόσμον ἐν λόγω πήξας λόγε,",0,
24721,22809,5549,τῶ θ(ε)ῶ δόξα. τῶ δόντι ἀρχὴν (καὶ) τέλος,0,
24786,22826,14872,+ ὦσπερ ξένη χαίρου|σιν π(ατ)ρίδα βλέπειν· | ,0,
24963,22877,14932,σοῦ παιδὸς χείρεσσι λιπεῖν φάος· ὣς γὰρ ἔνευσε ,2,
24993,22893,14802,κὰι οἱ στρατεβόμ(εν)οι ἰδεῖν τὸν οἶκον·,2,
25612,23079,14872,ὡσπερ ξενοί χερονται οἰδην π(ατ)ρίδα,0,
25605,23076,10869,(...) σήπετ(αι) τά|φῶ,0,
26135,23150,14872,Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
26174,23161,445,εἰς οὐ(ρα)νοὺς τὸν κόσμον ἐκπέμ|πης ὄλον· |,7,
26273,23172,11233,"†αὕτη ἡ  βίβλος ἔνεστι τ(ῆς) μονῆς τ(οῦ) προδρόμ(ου),",0,
49716,33686,15261,"Ἄρξου, χείρ μου ἀγαθή",0,
26547,23274,14872,"ὥσπερ ξένοι χαίρουσιν ἰδόντες πατρίδα,",0,
26755,23392,10869,"Ή μὲν χεῖρ ἡ γράψασα, | σήπετε τάφω",0,
26751,23388,15261,+ Ἄρξου χεῖρ μου ἀγ[αθὴ].,0,
26774,23401,14872,+ Ὠσπε[ρ] ξενι χέροντες υδεῖν πατρ<ί>δα,0,
26772,23400,15261,(...)ξυ χηρ μου αγαθ ,0,
26729,23366,15470,※ Βῆτα δ’ ὄνειρον ἔχει· ἀγορὴν. καὶ νῆας ἀριθμεῖ:~,0,
44875,30617,15261,+ ἄρξου χήραν αγαθην,0,
26840,23439,3949,οὕτω γε τοῖς γράφουσιν ὕστατος στίχοις,3,
27053,23496,15261,[.]φαρξον χεὶ μου αγαθε,0,
17518,21127,14872,ὥσπερ ξένοι χαίροντ(ες) ἰδεῖν π(ατ)ρίδα,0,
8233,18773,14872,"Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,",0,
27625,23569,14667,"θεόγραφον χάριν δὲ τῶ κεκτημένῳ,",2,
27911,23652,14932,παιδὸς σοῦ χείρεσι λιπεῖν | βίον· ὣς ἐπένευσε ,2,
28014,23684,14932,παιδὸς ἑοῦ χείρεσσι λιπ(εῖν) βίον· (ὣς) γὰρ ἔνευσε,2,
28084,23709,14872,[ὥ]σπερ ξένοι χαίροντες ἰδεῖν πατρίδα·,0,
28008,23683,15261,ἄρξου χῆρ μου ἀγαθεὶ ,0,
28628,23775,14872,ὥσπερ ξένοι χαίροντ(ες) ἠδεῖν πατρίδ(α),0,
28630,23775,14802,κ(αὶ) οἱ στρατεύομενοι ἠδειν (...)κος,2,
28786,23822,14872,+ ὅνπερ ξενοι χέροντες ἰδεῖν π(ατ)ρίδα,0,
29111,23901,14872,†ώσπερ ξένι χέρουσιν υδῆν π(ατ)ρίδα ,0,
29325,23958,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
29345,23966,15261,ἄρξου χεὶρ μου ἀγαθὲι,0,
29457,23991,10869,+ Οἱ μὲν χεὶρ ἡ γρά|ψασα σήπεται | τάφω·,0,
29477,23996,15652,αἰσχύλε τί φὴς τοὺς θεούς σου προσφέρ(εις)·,0,
29502,24003,5549,"Δόξα Θ(ε)ῶ τῶ δόντι τῇ βίβλω, τέλος +.",0,
29530,24008,2520,"ἐτελειώθη σὺν θεῷ καὶ τὸ παρὸν Πυκτίον,",0,
29486,23998,15652,αἰσχύλε τὶ φὴς τ(οὺς) θεούς σου προσφέρεις ,0,
29569,24018,14872,+ὤσπερ ξένοι χαίρον(τες) οἰδὴν π(ατ)ρίδα·,0,
29585,24024,10869,"+Ἡ μὲν χεὶρ ἡ γράφουσα, σήπεται |τάφω·",0,
29738,24074,14872,"+ ὥσπερ ξένοι χαίρου|σιν ἰδεῖν π(ατ)ρίδα,",0,
30059,24171,15261,<Ἄ>ρξον χείρ μου ἀγαθὴ,0,
30081,24182,10869,ἠ χεὶρ μ(ὲν) η γράψασα καλύπτετε τάφω:·,0,
30330,24255,15470,+ βῆτα δ´ὄνειρον ἔχει ἀγορὴν καὶ νῆας ἀριθμεῖ:,0,
30487,24317,15261,+ Αρξού χείρ μου αγαθη ,0,
30631,24341,14667,θεόγραφον χάρ(ιν) δε τῶ κεκτημένῳ·,2,
30718,24360,14667,θεόγραφον χάριν δε τῶ κεκτη(μέν)ω:,2,
30831,24386,14872,[Ὥσ]περ ξένοι χαίρονται ηδῆν πατρίδα,0,
31094,24453,14932,σοῦ παιδὸς χείρεσσι λιπεῖν φάος· ὣς γὰρ ἔννεπε |,2,
31075,24451,12122,ὥστε μάτην ὁ βΐος (καὶ) ὅσα τΐς πονέει:-,5,
31151,24463,14932,παι|δός σου χείρεσσι λιπεῖν φάος· ὣς ἐπένευσε ,2,
31214,24472,14932,σου παιδὸς χείρεσσι λιπεῖν φάος· ὥς γὰρ ἔνευσε ,2,
31190,24469,12122,ὥστε μάτην ὁ βίος·  καὶ ὅσα τίς πονέει:+,5,
31357,24498,14932,σοῦ παιδὸς χείρεσι λϊπεῖν φάος· ὣ γὰρ ἔνευσε ,2,
31322,24491,12121,γαῖα βροτὸς κ(αὶ) ὕδωρ· τάδ᾽ ἐπ᾽ αὐτὸ σφιν τάδε δύν(...)|,4,
31323,24491,12122,ὥστε μάτην ὁ βίος· καὶ ὅσα τις πονέει:-,5,
49756,33726,14852,ἂ (καὶ) διδάξει (καὶ) σαφῶς παριστήσει·,6,
29368,23974,15261,ἀρξου χύρ μου | ἀγαθί ,0,
49761,33788,15261,ἂρξοὐ χὒρ μου· ἀγαθἔ,0,
49769,16980,14866,※ ὁ πάντα κόσμον ἐν λόγω κτίσας πάλ(ιν): |,0,
49774,33792,14872,ὡσπερ ξένοι χέρον(τες) ἰδεῖν π(ατ)ρίδα |,0,
16167,20789,14872,+ ὥσπερ ξένι χαίροντες εὑρεῖν π(ατ)ρίδα·,0,
15981,20758,14872,ὥσπερ ξένη χέρουσιν ἠδεὶν π(ατ)ρίδα |,0,
16466,20870,14872,Ὥσπερ οἱ ξένοι χαίρουσιν ἰδ(εῖν) π(ατ)ρίδα·,0,
7825,18669,14872,ὥσπερ ξένη χαί|ροντες ἰδεῖν π(ατ)ρίδα·,0,
44939,30654,15377,δόξα τῶ θ(ε)ῶ παντων | ἕνεκεν·,0,
32409,24725,15470,Βῆτα δ’ ὄνειρον ἔχει ἀγορὴν καὶ νῆας ἀριθμεῖ:-,0,
32446,24762,15470,"βῆτα δ’ ὄνειρον ἔχει, ἀγορὴν. (καὶ) νῆας ἀριθμεῖ:-",0,
41696,28317,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41702,28319,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41714,28323,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
48551,32438,14872,Ὥσπερ ξένοι χαίροντες ἰδεῖν λιμένα,0,
19525,21570,14872,+ Ὥσπερ ξένοι χαίρουσιν ἡδὴν π(ατ)ρίδα,0,
49712,33682,14872,ὡσ|περ ξέν(οι) χαίρουσιν ἠδὶν π(ατ)ρίδα,0,
42237,28567,14872,"+ ὥσπερ χαίροντες, ἰδεῖν | π(ατ)ρίδα·",0,
4661,17927,14872,+ ὥσπερ ξένοι χαίροντες ἠδῆν π(ατ)ρίδα·,0,
22222,22195,14872,+Ὥσπερ ξένοι χαίροντ(ες) ἰδεῖν π[ατ]ρίδα,0,
32715,24879,15261,αρξου χείρ μου ἀγαθεῖ ,0,
32790,24902,6353,+ μὴ τεμνέτω τίς τὰ φύλλα τῶν βιβλί(ων)·,0,
33242,24975,14872,ἀπερ ξένη χέροντες ἰδην π(ατ)ρίδα ,0,
33207,24965,15261,αρξου χηρ αναγα,0,
33217,24969,15261,+ ἂρξου χῆρ μου αγαθεῖ· ,0,
33643,25067,12121,Γαῖα βροτὸς καὶ ὕδωρ· τάδ᾽ ἀπ᾽ αὐτῶν σφὶν ἐς τάδε δύνει·,2,
